invoice_number	invoice_date	po_number	model_id	serial_number	unit_remarks1	amount	unit_remarks3	unit_remarks2
S/I-25-10-0278	28-Oct-25	P250142	Sokkia NET1AXIIT/TE	HX0220	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 04/11/2025
S/I-25-06-0237	24-Jun-25	P250059	Sokkia NET1AXIIT/TE	HX0221	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 04/11/2025
S/I-25-10-0278	28-Oct-25	P250142	Sokkia NET1AXIIT/TE	HX0233	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 10/11/2025
S/I-25-10-0278	28-Oct-25	P250142	Sokkia NET1AXIIT/TE	HX0234	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 31/10/2025
S/I-25-11-0330	27-Nov-25	P250142	Sokkia NET1AXIIT/TE	HX0269	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 08/12/2025
S/I-25-12-0065	5-Dec-25	P250162	Sokkia MS1AXIIT	HZ0239	"Automated 3D Station
SOKKIA MS1AXIIT 3D Ultra High-Precision 3D station complete with:
2 x BDC70/72 battery
1 x CDC68/77 quick charger
1 x EDC113 Power cable
1 X Standard package components"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 08/12/2025
S/I-25-12-0065	5-Dec-25	P250162	Sokkia MS1AXII	HZ0242	"Automated 3D Station
SOKKIA MS1AXIIT 3D Ultra High-Precision 3D station complete with:
2 x BDC70/72 battery
1 x CDC68/77 quick charger
1 x EDC113 Power cable
1 X Standard package components"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 08/12/2025
S/I-25-12-0093	8-Dec-25	P250162	Sokkia MS1AXII	HZ0249	"Automated 3D Station
SOKKIA MS1AXII 3D Ultra High-Precision 3D station complete with:
2 x BDC70/72 battery
1 x CDC68/77 quick charger
1 x EDC113 Power cable
1 X Standard package components"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 10/12/2025
S/I-25-12-0087	8-Dec-25	P250180	Sokkia NET1AXIIT/TE	HX0268	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 15/12/2025
S/I-25-12-0106	9-Dec-25	P250162	Sokkia MS1AXII	HZ0245	"Automated 3D Station
SOKKIA MS1AXII 3D Ultra High-Precision 3D station complete with:
2 x BDC70/72 battery
1 x CDC68/77 quick charger
1 x EDC113 Power cable
1 X Standard package components"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 15/12/2025
S/I-25-12-0087	8-Dec-25	P250180	Sokkia NET1AXIIT/TE	HX0267	"Automated 3D Station
SOKKIA NET1AXIIT/TE 3D Ultra High-Precision 3D station complete with:
2 x BDC72 battery
1 x CDC77 quick charger
1 x EDC113 Power cable"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 19/12/2025
S/I-25-12-0093	8-Dec-25	P250162	Sokkia MS1AXII	HZ0244	"Automated 3D Station
SOKKIA MS1AXII 3D Ultra High-Precision 3D station complete with:
2 x BDC70/72 battery
1 x CDC68/77 quick charger
1 x EDC113 Power cable
1 X Standard package components"	 $22,300.00 	Sembcorp Specialised Construction Pte Ltd	Loan on 19/12/2025
59405	21-Dec-07	P07116	Sokkia NET1m	101105	SOKKIA NET-1M Mono Mobile 3-D Station Complete with: 2 x rechargeable battery 1 x charger 1 x cable	 $21,500.00 	WRITE OFF.	
59405	21-Dec-07	P07116	Sokkia NET1m	101048	SOKKIA NET-1M Mono Mobile 3-D Station Complete with: 2 x rechargeable battery 1 x charger 1 x cable	 $21,500.00 	WRITE OFF.	
59580	28-Dec-07	P07122	Sokkia NET1m	101041	SOKKIA NET-1M Mono Mobile 3-D Station Complete with: 2 x rechargeable battery 1 x charger 1 x EDC131A cable	 $21,500.00 	WRITE OFF.	
60698	3-Apr-08	P08036	Sokkia NET1m	100950	SOKKIA NET-1M Mono Mobile 3-D Station Complete with: 2 x rechargeable battery 1 x charger 1 x EDC131A cable	 $21,500.00 	WRITE OFF.	
61888	16-Jun-08	P08102	Sokkia NET1m-II	101844	SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with: 2 x BDC58 batery 1 x CDC68 charger 1 x EDC131 cable	 $21,500.00 	WRITE OFF.	
60813	19-Apr-08	P08068	Sokkia NET1m	101555	SOKKIA NET-1M Mono Mobile 3-D Station Complete with: 2 x rechargeable battery 1 x charger 1 x EDC131 cable	 $21,500.00 	WRITE OFF.	
63829	16-Oct-08	P08174	Sokkia NET1m-II	102024	SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with: 2 x BDC58 batery 1 x CDC68 charger 1 x EDC131 cable	 $21,500.00 	WRITE OFF.	
59902	26-Jan-08	P08013	Sokkia NET1m	101101	SOKKIA NET-1M Mono Mobile 3-D Station Complete with: 2 x rechargeable battery 1 x charger 1 x EDC131 cable (taken)	 $21,500.00 	WRITE OFF.	
61341	2-May-08	P08078	Sokkia NET1m	101551	SOKKIA NET-1M Mono Mobile 3-D Station Complete with: 2 x rechargeable battery 1 x charger 1 x EDC131 cable	 $21,500.00 	WRITE OFF.	
64740	8-Jan-09	P08195R	Sokkia NET1m-II	102289	SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with: 2 x BDC58 batery 1 x CDC68 charger 1 x EDC131 cable	 $21,500.00 	WRITE OFF.	
75401	1-Mar-11	P11028	Sokkia NET1m-II	101303	SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with: 2 x BDC58 batery 1 x CDC68 charger 1 x EDC131 cable	 $22,575.00 	WRITE OFF.	
64689	5-Jan-09	P08195R & P08174	Sokkia NET1m-II	102281	SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with: 2 x BDC58 batery 1 x CDC68 charger 1 x EDC131 cable	 $21,500.00 	WRITE OFF.	
67832	27-Aug-09	P09090	Sokkia NET1m-II	102293	SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with: 2 x BDC58 batery 1 x CDC68 charger 1 x EDC131 cable	 $21,500.00 	WRITE OFF.	
68282	17-Sep-09	P09107	Sokkia NET1m-II	102696	SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with: 2 x BDC58 batery 1 x CDC68 charger 1 x EDC131 cable	 $21,500.00 	WRITE OFF.	
64689	5-Jan-09	P08195R & P08174	Sokkia NET1m-II	102284	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	WRITE OFF.	
63000	27-Aug-08	P08155	Sokkia NET1m-II	101515	"SOKKIA NET1P51TN-22 Mono Mobile 3-D Station Complete with:
2 x BDC58 battery
1 x CDC68 charger
1 x EDC131 cable"	 $21,500.00 	WRITE OFF ON 11/11/20	
